time,seconds_elapsed,z,y,x
1675434278556063000,0.88606298828125,-0.04400777816772461,-0.045001983642578125,0.0189208984375
1675434278565950700,0.89595068359375,-0.039348602294921875,-0.02927875518798828,-0.028796792030334473
1675434278575838500,0.90583837890625,0.0029387474060058594,-0.022080421447753906,-0.047692954540252686
1675434278585726000,0.915725830078125,0.024831771850585938,-0.008115768432617188,-0.021566033363342285
1675434278595613700,0.92561376953125,-0.01309061050415039,-0.01584911346435547,0.04436463117599487
1675434278605501400,0.93550146484375,-0.02100372314453125,0.008380889892578125,0.09648001194000244
1675434278615389200,0.94538916015625,0.002911090850830078,0.009902000427246094,0.07506951689720154
1675434278625277000,0.95527685546875,-0.03141355514526367,0.02210521697998047,0.08509323000907898
1675434278635195100,0.965195068359375,0.006364345550537109,0.009550094604492188,0.10927453637123108
1675434278645083000,0.975082763671875,0.039824485778808594,-0.00034618377685546875,0.10284349322319031
1675434278654970400,0.984970458984375,0.09754180908203125,0.018186569213867188,0.08665013313293457
1675434278664858000,0.994858154296875,0.1124720573425293,-0.0156402587890625,0.016035646200180054
1675434278674745900,1.004745849609375,0.11253499984741211,-0.019809722900390625,-0.029602468013763428
1675434278684633600,1.014633544921875,0.07426977157592773,-0.03949546813964844,-0.0713239312171936
1675434278694521300,1.024521240234375,0.031091690063476562,-0.03198528289794922,-0.11993047595024109
1675434278704408800,1.034408935546875,0.04757118225097656,-0.01880168914794922,-0.12010866403579712
1675434278714327000,1.0443271484375,0.04864072799682617,-0.0059375762939453125,-0.09719863533973694
1675434278724214800,1.05421484375,0.0652780532836914,-0.0052318572998046875,-0.07984384894371033
1675434278734102500,1.0641025390625,0.0358738899230957,0.011835098266601562,0.012259036302566528
1675434278743990300,1.073990234375,0.010686874389648438,0.019132614135742188,0.08075752854347229
1675434278753878000,1.0838779296875,0.0257720947265625,0.02528095245361328,0.09623289108276367
1675434278763765500,1.093765625,0.058286190032958984,0.05724048614501953,0.06255820393562317
1675434278773653200,1.1036533203125,-0.009510993957519531,0.02143096923828125,0.06950601935386658
1675434278783541000,1.113541015625,-0.07279634475708008,0.008643150329589844,0.01725471019744873
1675434278793428700,1.1234287109375,-0.07321786880493164,0.0022153854370117188,-0.040638893842697144
1675434278803316500,1.13331640625,-0.09073209762573242,-0.02029132843017578,-0.035784393548965454
1675434278813204000,1.143203857421875,-0.03429126739501953,-0.013925552368164062,-0.03705635666847229
1675434278823122400,1.153122314453125,-0.030729293823242188,-0.024077415466308594,-0.030006587505340576
1675434278833010000,1.163010009765625,-0.029798030853271484,0.00373077392578125,0.005045682191848755
1675434278842897700,1.172897705078125,-0.03520631790161133,-0.0063629150390625,0.008859634399414062
1675434278852785400,1.182785400390625,-0.07271194458007812,-0.019611358642578125,-0.007343858480453491
1675434278862673200,1.192673095703125,-0.02178955078125,0.002948760986328125,0.008707612752914429
1675434278872561000,1.202560791015625,0.04467201232910156,-0.010152816772460938,0.03017440438270569
1675434278882448400,1.212448486328125,0.07037687301635742,0.007354736328125,0.03898724913597107
1675434278892336000,1.222336181640625,0.02054738998413086,0.03150749206542969,0.05841034650802612
1675434278902224000,1.232223876953125,0.0469355583190918,0.05174827575683594,0.12397235631942749
1675434278912111600,1.242111572265625,0.06231498718261719,0.0540313720703125,0.13964718580245972
1675434278922029800,1.25202978515625,0.05393791198730469,-0.0025882720947265625,0.11898040771484375
1675434278931917600,1.26191748046875,0.030173778533935547,-0.007487297058105469,0.03229665756225586
1675434278941805000,1.27180517578125,0.03276395797729492,0.000640869140625,-0.037159085273742676
1675434278951692800,1.28169287109375,0.09923887252807617,-0.05865287780761719,-0.11032485961914062
1675434278961580500,1.29158056640625,0.07816839218139648,-0.09382343292236328,-0.14069518446922302
1675434278971468300,1.30146826171875,-0.009222030639648438,-0.053322792053222656,-0.16783598065376282
1675434278981356000,1.31135595703125,-0.011600017547607422,0.04651832580566406,-0.09115278720855713
1675434278991243500,1.321243408203125,0.008269309997558594,0.06593704223632812,0.036227673292160034
1675434279001131300,1.33113134765625,0.04543113708496094,0.00736236572265625,0.12517866492271423
1675434279011019000,1.34101904296875,0.1041712760925293,-0.024254798889160156,0.15138718485832214
1675434279020937200,1.350937255859375,0.1480550765991211,-0.06959056854248047,0.090180903673172
1675434279030825000,1.360824951171875,0.10249471664428711,-0.08513259887695312,-0.01811942458152771
1675434279040682200,1.37068212890625,-0.041726112365722656,-0.0642080307006836,-0.11453044414520264
1675434279050539300,1.380539306640625,-0.08052873611450195,-0.021564483642578125,-0.16957587003707886
1675434279060457500,1.39045751953125,-0.0361328125,0.0026235580444335938,-0.13933929800987244
1675434279070345200,1.40034521484375,-0.025046348571777344,-0.025055885314941406,-0.028937697410583496
1675434279080233000,1.41023291015625,-0.07852888107299805,-0.00838470458984375,0.028729677200317383
1675434279090120700,1.42012060546875,-0.11078405380249023,0.047332763671875,0.11480298638343811
1675434279100008200,1.43000830078125,0.02249908447265625,0.06737899780273438,0.14503774046897888
1675434279109926400,1.439926513671875,0.1204385757446289,0.07544612884521484,0.1712237000465393
